Datetime,MarginalES,SMA_3,SMA_5,SMA_7,SMA_10,SMA_30,SMA_50,SMA_60,SMA_100,SMA_200,EMA_12,EMA_26,ROC_12,ROC_50,RSI_5,RSI_7,RSI_14
2019-09-28 14:00:00,46.79,48.07999999999999,46.660000000000004,44.94571428571429,45.330999999999996,43.53,44.608000000000004,45.6565,48.954499999999996,49.68525,45.575215686168214,44.852460377962345,-7.015103338632753,2.9256489221293407,53.187674070395815,53.27125735807814,52.10456822952699
2019-09-29 14:00:00,42.08,45.93666666666666,46.629999999999995,45.878571428571426,44.439,43.26433333333333,44.4886,45.48799999999999,48.8772,49.6663,45.03749019598849,44.64709294255773,-16.024745559768512,-12.42455775234131,38.7042136235925,43.23790308615972,47.264199261080606
2019-09-30 14:00:00,50.29,46.386666666666656,47.322,46.52428571428572,44.599,43.504999999999995,44.59439999999999,45.473166666666664,48.9118,49.6546,45.845568627374874,45.06508605792382,-1.003937007874012,11.755555555555555,61.52967144926883,58.957883172821475,55.09497125124956
2019-10-01 14:00:00,46.89,46.419999999999995,46.998000000000005,47.19,45.388,43.64833333333333,44.56219999999999,45.393,48.949299999999994,49.6165,46.00625037700951,45.20026486844799,-8.058823529411764,-3.3195876288659782,51.585621130686754,51.999967196280124,51.67294977002483
2019-10-02 14:00:00,42.12,46.43333333333333,45.634,46.51714285714286,46.045,43.68033333333333,44.4346,45.246833333333335,48.88049999999999,49.5771,45.408365703623424,44.9720971004148,-13.493530499075787,-13.154639175257737,40.193920541212734,43.58161860780594,47.23988806975963
2019-10-03 14:00:00,45.25,44.75333333333333,45.326,46.05142857142857,45.992999999999995,43.55533333333333,44.3796,45.176500000000004,48.8228,49.65335,45.38400174921982,44.99268250038408,16.025641025641026,-5.729166666666666,49.36546892511772,49.80284093952304,50.25563605166475
2019-10-04 14:00:00,54.12,47.16333333333333,47.734,46.791428571428575,47.182,43.803000000000004,44.6146,45.19866666666667,48.879799999999996,49.66425,46.72800148010908,45.668780092948225,52.23628691983123,27.73188576823224,67.18932823579918,63.2139417261078,57.64428917156932
2019-10-05 14:00:00,49.0,49.456666666666656,47.476,47.107142857142854,47.398999999999994,44.06266666666667,44.6446,45.14816666666666,48.864799999999995,49.6516,47.07753971393845,45.91553712310021,7.0570242516932415,3.1578947368421053,53.580566553123056,53.57478850599592,52.77176461152098
2019-10-06 14:00:00,47.21,50.10999999999999,47.54,47.839999999999996,47.269,44.25633333333334,44.708600000000004,45.054833333333335,48.8,49.62945,47.09791821948638,46.011423262129824,11.792564527587034,7.271074755737339,49.22359502603678,50.43780626048526,51.14411408768006
2019-10-07 14:00:00,48.8,48.336666666666666,48.876,47.62714285714286,47.254999999999995,44.714666666666666,44.846799999999995,45.027,48.775999999999996,49.600150000000006,47.359776954950014,46.21798450197206,4.206705103566088,16.49558367152064,53.42846063505866,53.27317010089393,52.54427182337616
2019-10-08 14:00:00,54.48,50.16333333333333,50.721999999999994,48.71142857142858,48.024,45.309333333333335,44.968999999999994,45.17733333333333,48.835,49.59355000000001,48.4551958849577,46.82998564997413,12.306740878169448,12.631796568120734,66.00088449507979,62.269223414261,57.25688834299744
2019-10-09 14:00:00,52.1,51.79333333333332,50.318,50.137142857142855,49.025999999999996,45.53833333333333,45.086000000000006,45.24483333333333,48.8241,49.60405000000001,49.0159349795796,47.22035708330938,6.456885982836134,12.648648648648653,57.824703944757616,56.91284321652727,54.80118060317318
