sliding_window,lag_price_window,n_estimators,max_depth,percentile,data_points,mse,mae,r2,worst_avg_error,mae_rank,mse_rank,r2_rank,worst_error_rank,avg_rank
30,4,100,30.0,99,2206,25.75084339616724,17.007660788757935,0.7971201021856729,75.289890990991,118.0,110.0,118.0,126.0,118.0
30,4,100,10.0,99,2206,25.753407718583556,17.008756323932566,0.7970796937714286,75.29943783783784,120.0,112.0,124.0,128.0,121.0
90,2,300,10.0,99,2147,25.799785438237535,17.31842852615123,0.80257536817657,73.09180189921676,237.0,113.0,85.0,57.0,123.0
15,2,100,30.0,99,2221,25.834873738074844,16.97997672809331,0.7952029455191683,75.54697857142858,98.5,121.5,150.5,134.5,126.25
15,2,100,20.0,99,2221,25.834873738074844,16.97997672809331,0.7952029455191683,75.54697857142858,98.5,121.5,150.5,134.5,126.25
15,2,100,,99,2221,25.834873738074844,16.97997672809331,0.7952029455191683,75.54697857142858,98.5,121.5,150.5,134.5,126.25
15,2,100,10.0,99,2221,25.834873738074844,16.97997672809331,0.7952029455191683,75.54697857142858,98.5,121.5,150.5,134.5,126.25
15,2,400,,99,2221,25.841856093478526,17.005740282128382,0.7955718609940456,75.57183147321426,110.5,132.5,131.5,138.5,128.25
15,2,400,20.0,99,2221,25.841856093478526,17.005740282128382,0.7955718609940456,75.57183147321426,110.5,132.5,131.5,138.5,128.25
15,2,400,10.0,99,2221,25.841856093478526,17.005740282128382,0.7955718609940456,75.57183147321426,110.5,132.5,131.5,138.5,128.25
15,2,400,30.0,99,2221,25.841856093478526,17.005740282128382,0.7955718609940456,75.57183147321426,110.5,132.5,131.5,138.5,128.25
90,2,300,,99,2147,25.838051597815088,17.345617109052125,0.8019892946974337,73.14630759553202,239.5,124.5,86.5,67.0,129.375
90,2,300,30.0,99,2147,25.838051597815088,17.345617109052125,0.8019892946974337,73.14630759553202,239.5,124.5,86.5,67.0,129.375
30,6,300,10.0,99,2206,25.803090068505302,17.19745406766419,0.7959284108504943,74.4952728928929,181.0,114.0,126.0,100.0,130.25
90,2,300,20.0,99,2147,25.838074086839146,17.34564425582762,0.8019889500066247,73.14630759553202,241.0,126.0,88.0,67.0,130.5
30,6,300,30.0,99,2206,25.80375819036477,17.198166304019345,0.7959178426236316,74.49384624624626,183.0,116.0,128.0,98.0,131.25
90,2,200,10.0,99,2147,25.82711279456004,17.362501942567878,0.7977766806712299,72.93634193112837,249.0,118.0,113.0,45.0,131.25
30,6,300,,99,2206,25.80375819036477,17.198166304019345,0.7959178426236316,74.49384624624626,183.0,116.0,128.0,98.0,131.25
30,6,300,20.0,99,2206,25.80375819036477,17.198166304019345,0.7959178426236316,74.49384624624626,183.0,116.0,128.0,98.0,131.25
15,2,200,,99,2221,25.838271407879912,16.99223865708283,0.7952103393721066,75.67887901785714,106.5,128.5,146.5,146.5,132.0
15,2,200,30.0,99,2221,25.838271407879912,16.99223865708283,0.7952103393721066,75.67887901785714,106.5,128.5,146.5,146.5,132.0
15,2,200,20.0,99,2221,25.838271407879912,16.99223865708283,0.7952103393721066,75.67887901785714,106.5,128.5,146.5,146.5,132.0
15,2,200,10.0,99,2221,25.838271407879912,16.99223865708283,0.7952103393721066,75.67887901785714,106.5,128.5,146.5,146.5,132.0
90,2,400,10.0,99,2147,25.828859522466477,17.334620044639596,0.7986877595764219,73.15178628865637,238.0,119.0,105.0,69.0,132.75
15,2,300,10.0,99,2221,25.85002414318457,17.011028326543887,0.7954426099770017,75.62866994047616,122.5,140.5,138.5,142.5,136.0
15,2,300,30.0,99,2221,25.85002414318457,17.011028326543887,0.7954426099770017,75.62866994047616,122.5,140.5,138.5,142.5,136.0
15,2,300,20.0,99,2221,25.85002414318457,17.011028326543887,0.7954426099770017,75.62866994047616,122.5,140.5,138.5,142.5,136.0
15,2,300,,99,2221,25.85002414318457,17.011028326543887,0.7954426099770017,75.62866994047616,122.5,140.5,138.5,142.5,136.0
90,2,200,30.0,99,2147,25.86336486899064,17.39229425078182,0.7972085831103365,72.9614459876543,250.5,143.5,114.5,47.0,138.875
90,2,200,,99,2147,25.86336486899064,17.39229425078182,0.7972085831103365,72.9614459876543,250.5,143.5,114.5,47.0,138.875
90,2,200,20.0,99,2147,25.863401902076657,17.39234004779648,0.7972080023663073,72.9614459876543,252.0,145.0,116.0,47.0,140.0
90,2,400,30.0,99,2147,25.863919352037907,17.359174871124154,0.7981408703075559,73.2336733818342,246.5,146.5,110.5,75.0,144.625
90,2,400,,99,2147,25.863919352037907,17.359174871124154,0.7981408703075559,73.2336733818342,246.5,146.5,110.5,75.0,144.625
90,2,400,20.0,99,2147,25.863941712779997,17.359210957606958,0.7981405212713695,73.2336733818342,248.0,148.0,112.0,75.0,145.75
30,6,400,,99,2206,25.84324309709769,17.212512488667272,0.795292791792529,74.83697680180182,190.0,137.0,143.0,114.0,146.0
30,6,400,20.0,99,2206,25.84324309709769,17.212512488667272,0.795292791792529,74.83697680180182,190.0,137.0,143.0,114.0,146.0
30,6,400,10.0,99,2206,25.84317066738632,17.21253257843418,0.7952939392385499,74.83793559309312,192.0,135.0,141.0,116.0,146.0
30,6,400,30.0,99,2206,25.84324309709769,17.212512488667272,0.795292791792529,74.83697680180182,190.0,137.0,143.0,114.0,146.0
15,6,100,,99,2221,25.932610376538037,17.071075236380008,0.7915279565378817,75.40376517857142,134.5,158.5,162.5,130.5,146.5
