sliding_window,lag_price_window,n_estimators,max_depth,percentile,data_points,mse,mae,r2,worst_avg_error,mae_rank,mse_rank,r2_rank,worst_error_rank,avg_rank
30,4,200,30.0,99,2206,24.037153374232478,16.0537416137806,0.824431325285058,70.06321351351352,119.0,107.0,107.0,126.0,114.75
30,4,200,20.0,99,2206,24.037153374232478,16.0537416137806,0.824431325285058,70.06321351351352,119.0,107.0,107.0,126.0,114.75
10,4,300,10.0,99,2226,24.084259886669994,16.025403414195864,0.8223454894972604,70.2523586309524,102.5,110.5,126.5,142.5,120.5
10,4,300,20.0,99,2226,24.084259886669994,16.025403414195864,0.8223454894972604,70.2523586309524,102.5,110.5,126.5,142.5,120.5
10,4,300,,99,2226,24.084259886669994,16.025403414195864,0.8223454894972604,70.2523586309524,102.5,110.5,126.5,142.5,120.5
10,4,300,30.0,99,2226,24.084259886669994,16.025403414195864,0.8223454894972604,70.2523586309524,102.5,110.5,126.5,142.5,120.5
10,4,200,,99,2226,24.095508107813284,16.008788611859835,0.8224195007642127,70.40184330357143,98.5,114.5,122.5,158.5,123.5
10,4,200,20.0,99,2226,24.095508107813284,16.008788611859835,0.8224195007642127,70.40184330357143,98.5,114.5,122.5,158.5,123.5
10,4,200,10.0,99,2226,24.095508107813284,16.008788611859835,0.8224195007642127,70.40184330357143,98.5,114.5,122.5,158.5,123.5
10,4,200,30.0,99,2226,24.095508107813284,16.008788611859835,0.8224195007642127,70.40184330357143,98.5,114.5,122.5,158.5,123.5
30,6,400,10.0,99,2206,24.206476354694978,16.184799451657813,0.8232180178610587,69.88297244744746,172.0,145.0,109.0,113.0,134.75
30,6,300,20.0,99,2206,24.20370937704793,16.17667796917498,0.8226852069564281,69.93025555555558,162.0,142.0,118.0,119.0,135.25
30,6,300,,99,2206,24.20370937704793,16.17667796917498,0.8226852069564281,69.93025555555558,162.0,142.0,118.0,119.0,135.25
30,6,300,30.0,99,2206,24.20370937704793,16.17667796917498,0.8226852069564281,69.93025555555558,162.0,142.0,118.0,119.0,135.25
30,6,400,30.0,99,2206,24.20670208530323,16.184783454215776,0.8232147207855296,69.8843882882883,170.0,147.0,111.0,115.0,135.75
30,6,400,,99,2206,24.20670208530323,16.184783454215776,0.8232147207855296,69.8843882882883,170.0,147.0,111.0,115.0,135.75
30,6,400,20.0,99,2206,24.20670208530323,16.184783454215776,0.8232147207855296,69.8843882882883,170.0,147.0,111.0,115.0,135.75
30,6,300,10.0,99,2206,24.203742736733986,16.176956062973996,0.8226847181743316,69.92847167167169,164.0,144.0,120.0,117.0,136.25
10,2,100,20.0,99,2226,24.229786271666214,16.14257102425876,0.8192843263611306,69.64809464285713,150.5,150.5,162.5,102.5,141.5
10,2,100,,99,2226,24.229786271666214,16.14257102425876,0.8192843263611306,69.64809464285713,150.5,150.5,162.5,102.5,141.5
10,2,100,30.0,99,2226,24.229786271666214,16.14257102425876,0.8192843263611306,69.64809464285713,150.5,150.5,162.5,102.5,141.5
10,2,100,10.0,99,2226,24.229786271666214,16.14257102425876,0.8192843263611306,69.64809464285713,150.5,150.5,162.5,102.5,141.5
7,1,200,20.0,99,2229,24.13395144697313,16.03606841633019,0.8207694069181528,70.63771294642858,106.5,118.5,146.5,202.5,143.5
7,1,200,,99,2229,24.13395144697313,16.03606841633019,0.8207694069181528,70.63771294642858,106.5,118.5,146.5,202.5,143.5
7,1,200,30.0,99,2229,24.13395144697313,16.03606841633019,0.8207694069181528,70.63771294642858,106.5,118.5,146.5,202.5,143.5
7,1,200,10.0,99,2229,24.13395144697313,16.03606841633019,0.8207694069181528,70.63771294642858,106.5,118.5,146.5,202.5,143.5
30,4,100,10.0,99,2206,24.16830280129513,16.1549835257477,0.8228025635583116,70.5264309094809,157.0,121.0,113.0,188.0,144.75
30,4,100,,99,2206,24.168834151433188,16.155159836808707,0.8227947719547309,70.52459459459457,159.0,123.0,115.0,186.0,145.75
30,4,100,20.0,99,2206,24.168834151433188,16.155159836808707,0.8227947719547309,70.52459459459457,159.0,123.0,115.0,186.0,145.75
30,4,100,30.0,99,2206,24.168834151433188,16.155159836808707,0.8227947719547309,70.52459459459457,159.0,123.0,115.0,186.0,145.75
10,4,400,20.0,99,2226,24.18301932320321,16.09359194743935,0.8208855291830898,70.5059566964286,138.5,130.5,142.5,182.5,148.5
10,4,400,30.0,99,2226,24.18301932320321,16.09359194743935,0.8208855291830898,70.5059566964286,138.5,130.5,142.5,182.5,148.5
10,4,400,10.0,99,2226,24.18301932320321,16.09359194743935,0.8208855291830898,70.5059566964286,138.5,130.5,142.5,182.5,148.5
10,4,400,,99,2226,24.18301932320321,16.09359194743935,0.8208855291830898,70.5059566964286,138.5,130.5,142.5,182.5,148.5
10,1,100,30.0,99,2226,24.268319199589186,16.182793665768195,0.8181049049865359,69.44247142857142,166.5,154.5,194.5,97.5,153.25
