Datetime,MarginalES
2018-11-06 14:00:00,62.41
2018-11-07 14:00:00,62.1
2018-11-08 14:00:00,63.93
2018-11-09 14:00:00,62.01
2018-11-10 14:00:00,56.96
2018-11-11 14:00:00,62.08
2018-11-12 14:00:00,67.39
2018-11-13 14:00:00,66.83
2018-11-14 14:00:00,64.18
2018-11-15 14:00:00,67.51
2018-11-16 14:00:00,67.0
2018-11-17 14:00:00,60.05
2018-11-18 14:00:00,59.41
2018-11-19 14:00:00,72.2
2018-11-20 14:00:00,65.0
2018-11-21 14:00:00,66.22
2018-11-22 14:00:00,68.4
2018-11-23 14:00:00,68.71
2018-11-24 14:00:00,64.8
2018-11-25 14:00:00,63.41
2018-11-26 14:00:00,58.33
2018-11-27 14:00:00,68.07
2018-11-28 14:00:00,65.5
2018-11-29 14:00:00,63.94
2018-11-30 14:00:00,66.19
2018-12-01 14:00:00,62.76
2018-12-02 14:00:00,63.17
2018-12-03 14:00:00,67.1
2018-12-04 14:00:00,67.51
2018-12-05 14:00:00,66.1
2018-12-06 14:00:00,65.23
2018-12-07 14:00:00,63.0
2018-12-08 14:00:00,64.33
2018-12-09 14:00:00,64.05
2018-12-10 14:00:00,64.65
2018-12-11 14:00:00,65.06
2018-12-12 14:00:00,68.75
2018-12-13 14:00:00,66.06
2018-12-14 14:00:00,64.45
2018-12-15 14:00:00,63.1
2018-12-16 14:00:00,57.21
2018-12-17 14:00:00,69.54
2018-12-18 14:00:00,66.05
2018-12-19 14:00:00,64.1
2018-12-20 14:00:00,65.25
2018-12-21 14:00:00,63.2
2018-12-22 14:00:00,65.0
2018-12-23 14:00:00,66.01
2018-12-24 14:00:00,66.64
2018-12-25 14:00:00,66.58
2018-12-26 14:00:00,67.2
2018-12-27 14:00:00,68.12
2018-12-28 14:00:00,64.64
2018-12-29 14:00:00,57.39
2018-12-30 14:00:00,63.91
2018-12-31 14:00:00,65.22
2019-01-01 14:00:00,65.88
2019-01-02 14:00:00,63.16
2019-01-03 14:00:00,66.7
2019-01-04 14:00:00,69.17
2019-01-05 14:00:00,64.0
2019-01-06 14:00:00,64.86
2019-01-07 14:00:00,68.74
2019-01-08 14:00:00,67.97
2019-01-09 14:00:00,64.25
2019-01-10 14:00:00,66.01
2019-01-11 14:00:00,67.2
2019-01-12 14:00:00,66.12
2019-01-13 14:00:00,66.0
2019-01-14 14:00:00,66.42
2019-01-15 14:00:00,69.43
2019-01-16 14:00:00,70.0
2019-01-17 14:00:00,67.01
2019-01-18 14:00:00,68.6
2019-01-19 14:00:00,64.2
2019-01-20 14:00:00,62.41
2019-01-21 14:00:00,69.0
2019-01-22 14:00:00,68.4
2019-01-23 14:00:00,65.04
2019-01-24 14:00:00,64.23
2019-01-25 14:00:00,66.54
2019-01-26 14:00:00,66.03
2019-01-27 14:00:00,43.24
2019-01-28 14:00:00,54.95
2019-01-29 14:00:00,62.65
2019-01-30 14:00:00,63.65
2019-01-31 14:00:00,60.1
2019-02-01 14:00:00,55.84
2019-02-02 14:00:00,39.07
2019-02-03 14:00:00,47.09
2019-02-04 14:00:00,63.53
2019-02-05 14:00:00,58.18
2019-02-06 14:00:00,61.98
2019-02-07 14:00:00,62.01
2019-02-08 14:00:00,52.73
2019-02-09 14:00:00,58.77
2019-02-10 14:00:00,36.1
2019-02-11 14:00:00,58.84
2019-02-12 14:00:00,60.61
2019-02-13 14:00:00,60.02
2019-02-14 14:00:00,53.81
2019-02-15 14:00:00,57.02
2019-02-16 14:00:00,50.0
2019-02-17 14:00:00,48.39
2019-02-18 14:00:00,59.93
2019-02-19 14:00:00,59.5
2019-02-20 14:00:00,56.47
2019-02-21 14:00:00,51.15
2019-02-22 14:00:00,52.05
2019-02-23 14:00:00,52.99
2019-02-24 14:00:00,50.9
2019-02-25 14:00:00,56.94
2019-02-26 14:00:00,50.9
2019-02-27 14:00:00,55.3
2019-02-28 14:00:00,54.61
2019-03-01 14:00:00,55.53
2019-03-02 14:00:00,45.06
2019-03-03 14:00:00,35.0
2019-03-04 14:00:00,49.49
2019-03-05 14:00:00,54.37
2019-03-06 14:00:00,35.0
2019-03-07 14:00:00,52.52
2019-03-08 14:00:00,56.91
2019-03-09 14:00:00,54.03
2019-03-10 14:00:00,49.59
2019-03-11 14:00:00,55.51
2019-03-12 14:00:00,49.56
2019-03-13 14:00:00,45.87
2019-03-14 14:00:00,52.63
2019-03-15 14:00:00,54.51
