sliding_window,lag_price_window,mae,mse,r2,worst_avg_error,model,fe_status
10,4,16.025403414195864,580.0515742886613,0.8223454894972604,70.2523586309524,Random Forest,Feature Engineering
10,6,16.348633198562442,599.0564258408758,0.8159829031121684,70.8835669642857,Random Forest,Feature Engineering
15,1,16.259760670868975,593.8410758172522,0.8216013150141792,70.04935892857142,Random Forest,Feature Engineering
15,2,16.416042030616836,604.673845584159,0.8150525014844957,70.45960089285713,Random Forest,Feature Engineering
15,4,16.56652763394867,612.7250293433892,0.8122149673628364,70.70321406249995,Random Forest,Feature Engineering
15,6,16.269351238181002,592.4137114527375,0.8173070409810379,70.27313035714288,Random Forest,Feature Engineering
30,1,15.832211955544894,558.7689331474757,0.8300810094894673,68.48869640336768,Random Forest,Feature Engineering
30,2,15.79097067020355,558.4303556856472,0.8306726828665989,68.62471993243244,Random Forest,Feature Engineering
30,4,16.036917441069807,574.7461650266287,0.8268165610499301,69.68626193693694,Random Forest,Feature Engineering
30,6,16.184799451657813,585.953497510407,0.8232180178610587,69.88297244744746,Random Forest,Feature Engineering
90,1,15.80487914602928,555.6575509681602,0.8346904566810449,68.08010514962608,Random Forest,Feature Engineering
90,2,15.947207945194846,563.9239965122697,0.8329403508940725,68.63878055555554,Random Forest,Feature Engineering
90,4,16.051712587331156,568.2605983477753,0.8308657353629632,68.8474324074074,Random Forest,Feature Engineering
90,6,15.983783127619937,569.3851166988741,0.831363159957947,69.23749282407405,Random Forest,Feature Engineering
